FACTORY ID,KEYTYPE ID,COUNT,UPPER_LIMIT,CRITICAL_LOWER_LIMIT,WARNING_LOWER_LIMIT,LAST_LOADED
CENTRAL,761,7600549,10000000,3000000,6000000,18-OCT-2022 16:45:19
CENTRAL,2004,88417290,83000000,28000000,55000000,18-OCT-2022 17:11:21
CENTRAL,3339,935000,100000,50000,80000,01-NOV-2022 16:21:37
CENTRAL,3399,25000,50000,5000,10000,16-DEC-2022 08:29:31
CENTRAL,3404,30000,0,-1,-1,20-DEC-2022 09:44:30
CENTRAL,3405,100000,0,-1,-1,18-JAN-2023 13:32:27
CENTRAL,3319,593985,1000000,250000,400000,31-JAN-2023 12:12:11
CENTRAL,3443,100000,0,-1,-1,03-FEB-2023 08:07:53
CENTRAL,3445,595000,0,-1,-1,03-FEB-2023 08:08:53
CENTRAL,3383,748976,1500000,150000,600000,03-FEB-2023 10:09:59
CENTRAL,3380,748976,1500000,150000,600000,03-FEB-2023 10:14:59
CENTRAL,88888,975000,1000000,500000,900000,11-FEB-2023 21:52:17
CENTRAL,2599,374798,300000,150000,210000,14-FEB-2023 14:44:51
CENTRAL,2804,300000,0,-1,-1,15-FEB-2023 12:21:10
CENTRAL,3480,60000,100000,30000,50000,15-FEB-2023 12:24:10
CENTRAL,3481,100000,0,-1,-1,15-FEB-2023 12:24:11
CENTRAL,3479,100000,0,-1,-1,15-FEB-2023 12:25:10
CENTRAL,3423,990000,1000000,500000,700000,23-FEB-2023 10:43:04
CENTRAL,3424,290000,300000,150000,210000,23-FEB-2023 10:52:05
CENTRAL,3429,990000,1000000,500000,700000,23-FEB-2023 10:53:05
CENTRAL,3420,990000,1000000,500000,700000,23-FEB-2023 11:05:05
CENTRAL,3430,290000,300000,150000,210000,23-FEB-2023 11:14:06
CENTRAL,3427,290000,300000,150000,210000,23-FEB-2023 11:18:06
CENTRAL,3426,990000,1000000,500000,700000,23-FEB-2023 11:19:06
CENTRAL,3421,290000,300000,150000,210000,23-FEB-2023 11:27:06
CENTRAL,3299,882139,300000,100000,200000,08-MAR-2023 14:52:51
